external_id,date,videos,view_count
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-07-1,9,3100000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-08-1,1,4.00E+05
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-10-1,2,220000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-11-1,3,340000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-12-1,4,930000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-02-1,2,290000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-03-1,4,780000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-04-1,3,140000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-05-1,2,1.00E+05
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-07-1,5,190000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-08-1,3,91000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-09-1,1,33000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-10-1,3,160000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-11-1,5,60000
UC2-BeLxzUBSs0uSrmzWhJuQ,2012-12-1,3,1.00E+05
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-01-1,8,76000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-02-1,2,110000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-03-1,4,210000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-04-1,2,1300000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-05-1,2,31000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-06-1,2,2900000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-07-1,7,330000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-08-1,1,530000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-10-1,7,310000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-11-1,5,2400000
UC2-BeLxzUBSs0uSrmzWhJuQ,2013-12-1,6,2100000
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-01-1,5,3.20E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-02-1,9,690000
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-03-1,15,1.20E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-04-1,22,3900000
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-05-1,14,1.10E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-06-1,11,1600000
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-07-1,18,1.00E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-08-1,21,2800000
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-09-1,35,2.40E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-10-1,15,1.10E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-11-1,30,2800000
UC2-BeLxzUBSs0uSrmzWhJuQ,2014-12-1,55,1.10E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2015-01-1,26,2.20E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2015-02-1,39,9.00E+06
UC2-BeLxzUBSs0uSrmzWhJuQ,2015-03-1,36,1.30E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2015-04-1,35,1.30E+07
UClozwh5URilIQpDFeXch8qw,2011-03-1,21,260000
UClozwh5URilIQpDFeXch8qw,2011-04-1,35,890000
UClozwh5URilIQpDFeXch8qw,2011-05-1,21,250000
UClozwh5URilIQpDFeXch8qw,2011-06-1,5,770000
UClozwh5URilIQpDFeXch8qw,2011-08-1,4,170000
UClozwh5URilIQpDFeXch8qw,2011-09-1,41,380000
UClozwh5URilIQpDFeXch8qw,2011-10-1,13,8.00E+05
UClozwh5URilIQpDFeXch8qw,2011-11-1,8,450000
UClozwh5URilIQpDFeXch8qw,2011-12-1,11,190000
UClozwh5URilIQpDFeXch8qw,2012-01-1,7,460000
UClozwh5URilIQpDFeXch8qw,2012-02-1,14,5.00E+05
UClozwh5URilIQpDFeXch8qw,2012-03-1,70,1600000
UClozwh5URilIQpDFeXch8qw,2012-04-1,8,250000
UClozwh5URilIQpDFeXch8qw,2012-06-1,2,83000
UClozwh5URilIQpDFeXch8qw,2012-07-1,19,230000
UClozwh5URilIQpDFeXch8qw,2012-08-1,15,280000
UClozwh5URilIQpDFeXch8qw,2012-12-1,2,21000
UClozwh5URilIQpDFeXch8qw,2013-01-1,16,370000
UClozwh5URilIQpDFeXch8qw,2013-02-1,5,280000
UClozwh5URilIQpDFeXch8qw,2013-03-1,66,270000
UClozwh5URilIQpDFeXch8qw,2013-04-1,87,530000
UClozwh5URilIQpDFeXch8qw,2013-05-1,46,440000
UClozwh5URilIQpDFeXch8qw,2013-06-1,21,510000
UClozwh5URilIQpDFeXch8qw,2013-07-1,120,4.00E+07
UClozwh5URilIQpDFeXch8qw,2013-08-1,39,1.60E+07
UClozwh5URilIQpDFeXch8qw,2013-09-1,1,190000
UClozwh5URilIQpDFeXch8qw,2013-10-1,7,1400000
UClozwh5URilIQpDFeXch8qw,2013-11-1,13,6800000
UClozwh5URilIQpDFeXch8qw,2013-12-1,29,2400000
UClozwh5URilIQpDFeXch8qw,2014-01-1,27,2500000
UClozwh5URilIQpDFeXch8qw,2014-02-1,53,1100000
UClozwh5URilIQpDFeXch8qw,2014-03-1,44,1300000
UClozwh5URilIQpDFeXch8qw,2014-04-1,24,1400000
UClozwh5URilIQpDFeXch8qw,2014-05-1,53,1500000
UClozwh5URilIQpDFeXch8qw,2014-06-1,59,6300000
UClozwh5URilIQpDFeXch8qw,2014-07-1,117,1.50E+07
UClozwh5URilIQpDFeXch8qw,2014-08-1,1,26000
UClozwh5URilIQpDFeXch8qw,2014-09-1,8,130000
UClozwh5URilIQpDFeXch8qw,2014-10-1,115,1700000
UClozwh5URilIQpDFeXch8qw,2014-11-1,207,6900000
UClozwh5URilIQpDFeXch8qw,2014-12-1,169,2500000
UClozwh5URilIQpDFeXch8qw,2015-01-1,166,3500000
UClozwh5URilIQpDFeXch8qw,2015-02-1,206,4300000
UClozwh5URilIQpDFeXch8qw,2015-03-1,245,3600000
UClozwh5URilIQpDFeXch8qw,2015-04-1,131,1400000
UCnsQjCVzmEd-YvlQZbo6zCg,2010-09-1,22,1.60E+08
UCnsQjCVzmEd-YvlQZbo6zCg,2010-10-1,18,3.40E+07
UCnsQjCVzmEd-YvlQZbo6zCg,2010-11-1,7,5800000
