event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,2,,2487845,2335477,185,185,2487845,Won,1,207,WTS-SA03X,Mendozab,22-Apr-11,Submission (Guillotine),Middleweight,MMA,3,5:00,Ebenezer Fontes Braga,Jeremy Horn
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,3,,2431343,2558139,185,185,2431343,Won,1,460,WTS-SA02X,davisan,24-Apr-11,Submission (Punches),Middleweight,MMA,3,5:00,Frank Shamrock,John Lober
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,4,,2412445,2354050,228,250,2412445,Won,1,487,WTS-SA02X,davisan,24-Apr-11,KO,Heavyweight,MMA,3,5:00,Pedro Rizzo,David Abbott
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,5,,2558135,2501404,185,185,2501404,Won,1,1260,WTS-SA02X,davisan,24-Apr-11,Decision,Middleweight,MMA,3,5:00,Mikey Burnett,Pat Miletich
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,6,,2499994,2499538,240,240,2499994,Won,1,900,WTS-SA02X,davisan,24-Apr-11,Decision,Heavyweight,MMA,3,5:00,Tsuyoshi Kosaka,Pete Williams
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,7,,2558140,2558141,185,185,2558140,Won,1,540,WTS-SA02X,davisan,24-Apr-11,TKO,Middleweight,MMA,3,5:00,Tulio Palhares,Adriano Santos
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,8,,2558142,2558143,185,185,2558142,Won,1,,WTS-SA02X,davisan,24-Apr-11,TKO,Middleweight,MMA,3,5:00,Cesar Marcussi,Paulo Santos
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,1,,2487840,2335472,205,205,2335472,Won,1,871,WTS-DG01E,goulder,25-Sep-09,TKO (Cut),Light Heavyweight,MMA,1,30:00:00,Jerry Bohlander,Tito Ortiz
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,2,,2412445,2335515,235,235,2412445,Won,1,900,WTS-DG01,landrigm,8-Feb-10,Split Decision,Heavyweight,MMA,1,15:00,Pedro Rizzo,Mark Coleman
400255591,8-Jan-99,UFC 18: The Road to the Heavyweight Title,3321,10504,Final,1622,1622,3,,2499994,2557850,230,220,2557850,Won,1,855,WTS-SA02X,davisan,24-Apr-11,TKO,Heavyweight,MMA,3,5:00,Tsuyoshi Kosaka,Bas Rutten
