geoid,median_income,total_households,nonwhite_share,total_pop,black_pop,black_share,pct_speak_eng_less_well,median_age,share_24_44
3.60E+10,60455,1094,3.4645,2338,25,1.06929,38.1,52.5,24
3.61E+10,66169,548,96.0617,1879,1581,84.1405,9.9,38.5,24.9
3.60E+10,60893,1247,18.0268,3284,426,12.972,32.7,36.8,26.6
3.61E+10,59286,610,11.1686,1352,33,2.44083,15.9,46.5,24.4
3.61E+10,64702,383,98.2328,962,935,97.1933,6.6,45.9,15.9
3.60E+10,49955,2612,10.3209,5484,144,2.62582,44.2,43.2,31.2
3.61E+10,65087,803,18.159,1988,34,1.71026,22.9,42.3,32
3.61E+10,66786,720,13.3788,1906,40,2.09864,15.6,43.4,31.2
3.61E+10,84821,459,97.4735,1227,1156,94.2135,5.5,49.1,22.6
3.60E+10,30286,1089,25.6088,2628,77,2.92998,53.8,48.3,24.8
3.61E+10,NA,0,NaN,0,0,NaN,NA,NA,0
3.61E+10,92339,458,100,1472,1456,98.913,2.1,45,18.1
3.60E+10,52885,1460,8.25147,3054,153,5.00982,48.4,44.1,29.4
3.61E+10,71985,433,94.0962,1643,1507,91.7225,2.2,38.3,22.9
3.60E+10,61272,2035,7.5389,4563,0,0,40.6,47.3,25.2
3.60E+10,42893,633,49.8337,1804,174,9.64523,48.9,34.1,26.5
3.60E+10,22204,2905,7.3686,5917,151,2.55197,67.3,47.1,26.3
3.61E+10,96250,506,93.0794,1575,1466,93.0794,9.6,50.9,18
3.60E+10,61944,392,0,1004,0,0,27.9,47.4,23.7
3.61E+10,53125,2026,20.1791,5694,180,3.16122,25.1,36.4,33.3
3.61E+10,NA,3,57.1429,7,4,57.1429,0,NA,0
3.61E+10,101406,370,98.0377,1325,1265,95.4717,12.9,45.8,22.1
3.60E+10,84500,528,4.92183,1727,75,4.34279,37.2,49.4,16.9
3.61E+10,88506,673,98.9506,2287,2239,97.9012,3.3,45.9,22.9
3.61E+10,90192,398,93.4869,1259,1116,88.6418,6.7,42.9,27.6
3.61E+10,62564,724,96.3884,1689,1608,95.2043,4.2,46.2,22.7
3.61E+10,65227,1014,9.34454,2975,48,1.61345,15.2,38.3,35.9
3.60E+10,102946,703,1.05012,2095,0,0,24.1,44.2,24.7
3.61E+10,84196,451,96.4003,1389,1111,79.9856,13.3,46.3,24.6
3.61E+10,55117,1002,9.00188,2655,24,0.903955,9.4,39,30.3
3.60E+10,48350,1295,9.80763,3171,244,7.69473,29.3,49.1,21.6
3.61E+10,78714,644,98.9228,1671,1614,96.5889,3.7,50.1,19.7
3.61E+10,49861,771,8.13953,1978,0,0,18.5,40,32.6
3.61E+10,NA,0,NaN,0,0,NaN,NA,NA,0
3.61E+10,65375,977,8.58241,2342,30,1.28096,13.7,43.1,31.6
3.61E+10,84844,919,91.6746,3135,2841,90.622,8,40.1,27.2
3.60E+10,42321,1070,35.0434,2651,51,1.9238,26.3,37,24.2
3.61E+10,61331,913,11.6679,2794,33,1.1811,16.1,33,32.3
3.60E+10,65923,1945,3.03256,5375,20,0.372093,1,40.6,24.7
3.61E+10,47278,1048,14.431,3049,74,2.42703,11.5,31.7,31.5
3.61E+10,78287,525,98.2738,1680,1645,97.9167,5.8,45.1,22.7
3.61E+10,86458,615,99.0068,1913,1800,94.093,3.2,43.8,21
3.60E+10,51813,649,12.294,1456,11,0.755495,19,48.6,19.4
3.61E+10,65682,480,5.386,1114,12,1.0772,18.1,45.8,26.4
3.61E+10,72208,585,3.62538,1655,35,2.1148,5.3,41.9,27.9
3.61E+10,51397,803,2.04255,2350,36,1.53191,13,41.6,23.5
3.60E+10,90357,480,9.30421,1236,0,0,4.7,40.5,27.9
3.61E+10,66771,1088,10.3043,2892,48,1.65975,16.5,45.1,23.5
3.61E+10,87943,1089,94.2947,4119,3588,87.1085,6.4,36.3,25.4
3.60E+10,70234,687,24.4838,1695,2,0.117994,15,42,24.7
3.61E+10,72953,993,24.1407,2473,79,3.1945,21.8,38.1,28.1
3.60E+10,93333,604,14.8441,2021,0,0,19.4,37.7,19.7
3.61E+10,54743,883,17.9135,1965,12,0.610687,33.6,48,21.8
3.61E+10,35417,73,0,126,0,0,0,59.8,0
3.60E+10,59892,917,7.06727,2646,0,0,15.3,33.1,22.4
3.60E+10,95583,759,15.4301,2534,12,0.47356,11.8,30.9,25.1
3.61E+10,82406,757,49.2215,1991,50,2.5113,17.5,46.3,27
3.61E+10,79583,915,98.5528,2764,2578,93.2706,5.2,43.2,26.6
3.60E+10,76429,704,12.8619,2418,193,7.9818,3.2,30.7,26.5
3.60E+10,63295,645,42.5896,1869,565,30.2301,20.7,35.3,27.3
3.61E+10,90469,894,98.8341,3002,2941,97.968,1.6,40.9,25.7
3.60E+10,59444,530,62.3537,1538,687,44.6684,10.9,36.9,22
3.60E+10,103289,462,24.7626,1369,48,3.50621,4.1,38,29.3
3.61E+10,87219,897,85.4167,2928,2362,80.6694,7.9,36.6,29.3
3.60E+10,89063,589,10.62,1629,0,0,8.1,43.5,19.5
3.61E+10,NA,0,NaN,0,0,NaN,NA,NA,0
3.61E+10,66215,1449,93.7488,5135,4612,89.815,8.7,33.6,27.3
3.60E+10,90658,632,21.1538,1872,43,2.29701,4.8,39.4,20.4
3.61E+10,70556,682,13.7171,1633,135,8.26699,17.2,45.8,24
3.61E+10,62083,1041,3.82215,2564,4,0.156006,9.8,42.6,29.6
3.60E+10,81250,719,11.0338,2157,17,0.788132,14.6,36.6,27.6
3.61E+10,103242,733,1.8112,1822,0,0,13.4,43.1,29.1
3.61E+10,96420,1004,86.108,3628,2963,81.6703,7.2,32.3,29.7
3.60E+10,81865,657,10.4762,1890,7,0.37037,11.4,37.8,26.2
3.61E+10,80521,602,6.12245,1421,8,0.562984,9.2,51,28.4
3.60E+10,71579,592,41.0503,1771,1,0.0564653,21.3,37.3,29
3.61E+10,76806,950,8.43511,2620,0,0,14.6,45.3,22.6
